Date,Open,High,Low,Close,Adj Close,Volume
2008-12-04,3.284286,3.492857,3.235714,3.310000,3.310000,6727000
2008-12-05,3.292857,3.631428,3.225714,3.610000,3.610000,9088100
2008-12-08,3.571429,3.678571,3.508571,3.644286,3.644286,9763600
2008-12-09,3.598572,4.152857,3.572857,4.012857,4.012857,17894800
2008-12-10,4.041429,4.137143,3.961429,4.068572,4.068572,8979600
2008-12-11,3.978571,4.157143,3.905714,4.020000,4.020000,12569900
2008-12-12,4.048572,4.108572,3.890000,4.072857,4.072857,5471900
2008-12-15,3.928571,4.120000,3.928571,4.070000,4.070000,4821600
2008-12-16,4.142857,4.250000,4.031428,4.092857,4.092857,9816800
2008-12-17,4.077143,4.155715,3.987143,4.112857,4.112857,6004600
2008-12-18,4.085714,4.130000,3.964286,4.034286,4.034286,5366200
2008-12-19,4.111429,4.142857,3.902857,3.955714,3.955714,15471400
2008-12-22,4.038571,4.042857,3.860000,3.988571,3.988571,8297100
2008-12-23,3.992857,4.028572,3.831429,3.878572,3.878572,6005300
2008-12-24,3.868572,3.947143,3.858572,3.915714,3.915714,2150400
2008-12-26,3.875714,4.068572,3.857143,4.065714,4.065714,2457700
2008-12-29,4.105714,4.287143,3.928571,3.990000,3.990000,8669500
2008-12-30,4.038571,4.105714,3.987143,4.094285,4.094285,3313800
2008-12-31,4.108572,4.337143,4.078571,4.270000,4.270000,6200600
2009-01-02,4.217143,4.357143,4.200000,4.267143,4.267143,6605200
2009-01-05,4.327143,4.562857,4.302857,4.562857,4.562857,13044500
2009-01-06,4.591429,4.750000,4.590000,4.705714,4.705714,12065900
2009-01-07,4.715714,4.734286,4.571429,4.672857,4.672857,10133900
2009-01-08,4.618571,4.797143,4.485714,4.735714,4.735714,8175300
2009-01-09,4.770000,4.770000,4.594285,4.608572,4.608572,5686100
2009-01-12,4.601429,4.645714,4.428571,4.458571,4.458571,6524700
2009-01-13,4.432857,4.530000,4.321429,4.420000,4.420000,7823200
